;;PLAN F   UENTE;PLAN DESTINO
SPL_ANZOLA;292;ABA_N10_4096_BS;ABA_N11_4096_BS
SPL_ANZOLA;293;ABA_N11_4096_BS;ABA_N12_4096_BS
SPL_ANZOLA;294;ABA_N8_8192_BS_JC;ABA_N9_8192_BS_JC
SPL_ANZOLA;295;ABA_N9_8192_BS_JC;ABA_N10_8192_BS_JC
SPL_ANZOLA;296;ABA_N10_8192_BS_JC;ABA_N11_8192_BS_JC
SPL_ANZOLA;297;ABA_N11_8192_BS_JC;ABA_N12_8192_BS_JC
SPL_ANZOLA;298;ABA_N8_2048_BS;ABA_N9_2048_BS
SPL_ANZOLA;299;ABA_N9_2048_BS;ABA_N10_2048_BS
SPL_ANZOLA;300;ABA_N10_2048_BS;ABA_N11_2048_BS
SPL_ANZOLA;301;ABA_N11_2048_BS;ABA_N12_2048_BS
SPL_ANZOLA;302;ABA_N8_6144_BS;ABA_N9_6144_BS
SPL_ANZOLA;303;ABA_N9_6144_BS;ABA_N10_6144_BS
SPL_ANZOLA;304;ABA_N10_6144_BS;ABA_N11_6144_BS
SPL_ANZOLA;305;ABA_N11_6144_BS;ABA_N12_6144_BS
SPL_ANZOLA;306;ABA_N8_6144_BS;ABA_N9_6144_BS
SPL_ANZOLA;307;ABA_N9_6144_BS;ABA_N10_6144_BS
SPL_ANZOLA;308;ABA_N10_6144_BS;ABA_N11_6144_BS
SPL_ANZOLA;309;ABA_N11_6144_BS;ABA_N12_6144_BS
SPL_ANZOLA;310;ABA_N8_4096_BS;ABA_N9_4096_BS
SPL_ANZOLA;311;ABA_N9_4096_BS;ABA_N10_4096_BS
SPL_ANZOLA;312;ABA_N10_4096_BS;ABA_N11_4096_BS
SPL_ANZOLA;313;ABA_N11_4096_BS;ABA_N12_4096_BS
SPL_ANZOLA;314;ABA_N8_2048_BS;ABA_N9_2048_BS
SPL_ANZOLA;315;ABA_N9_2048_BS;ABA_N10_2048_BS
SPL_ANZOLA;316;ABA_N10_2048_BS;ABA_N11_2048_BS
SPL_ANZOLA;317;ABA_N11_2048_BS;ABA_N12_2048_BS
SPL_ANZOLA;318;ABA_N8_6144_BS_JV;ABA_N9_6144_BS_JV
SPL_ANZOLA;319;ABA_N9_6144_BS_JV;ABA_N10_6144_BS_JV
SPL_ANZOLA;320;ABA_N10_6144_BS_JV;ABA_N11_6144_BS_JV
SPL_ANZOLA;321;ABA_N11_6144_BS_JV;ABA_N12_6144_BS_JV
SPL_ANZOLA;322;ABA_N8_4096_BS_JC;ABA_N9_4096_BS_JC
SPL_ANZOLA;323;ABA_N9_4096_BS_JC;ABA_N10_4096_BS_JC
SPL_ANZOLA;324;ABA_N10_4096_BS_JC;ABA_N11_4096_BS_JC
SPL_ANZOLA;325;ABA_N11_4096_BS_JC;ABA_N12_4096_BS_JC
SPL_ANZOLA;326;ABA_N8_1536_BS;ABA_N9_1536_BS
SPL_ANZOLA;327;ABA_N9_1536_BS;ABA_N10_1536_BS
SPL_ANZOLA;328;ABA_N10_1536_BS;ABA_N11_1536_BS
SPL_ANZOLA;329;ABA_N11_1536_BS;ABA_N12_1536_BS
SPL_ANZOLA;330;ABA_N8_3072_BS;ABA_N9_3072_BS
SPL_ANZOLA;331;ABA_N9_3072_BS;ABA_N10_3072_BS
SPL_ANZOLA;332;ABA_N10_3072_BS;ABA_N11_3072_BS
SPL_ANZOLA;333;ABA_N11_3072_BS;ABA_N12_3072_BS
SPL_ANZOLA;334;ABA_N8_2048_BS;ABA_N9_2048_BS
SPL_ANZOLA;335;ABA_N9_2048_BS;ABA_N10_2048_BS
SPL_ANZOLA;336;ABA_N10_2048_BS;ABA_N11_2048_BS
SPL_ANZOLA;337;ABA_N11_2048_BS;ABA_N12_2048_BS
SPL_ANZOLA;338;ABA_N8_1536_BS_JV;ABA_N9_1536_BS_JV
SPL_ANZOLA;339;ABA_N9_1536_BS_JV;ABA_N10_1536_BS_JV
